Time[s]	CLK	DIO
-0.100000000000000	1	1
-0.000002750000000	1	0
0.000000000000000	0	0
0.000003937500000	1	0
0.000006062500000	0	0
0.000010000000000	1	0
0.000012125000000	0	0
0.000016062500000	1	0
0.000018187500000	0	0
0.000022125000000	1	0
0.000024250000000	0	0
0.000028187500000	1	0
0.000030312500000	0	0
0.000034250000000	1	0
0.000036437500000	0	0
0.000038562500000	0	1
0.000040375000000	1	1
0.000042500000000	0	1
0.000044750000000	0	0
0.000046437500000	1	0
0.000049125000000	0	0
0.000054625000000	1	0
0.000058125000000	0	0
0.000062125000000	1	0
0.000064000000000	1	1
0.000066562500000	1	0
0.000069312500000	0	0
0.000073250000000	1	0
0.000075375000000	0	0
0.000079312500000	1	0
0.000081437500000	0	0
0.000085375000000	1	0
0.000087500000000	0	0
0.000091437500000	1	0
0.000093562500000	0	0
0.000097562500000	1	0
0.000099687500000	0	0
0.000103625000000	1	0
0.000105750000000	0	0
0.000107875000000	0	1
0.000109687500000	1	1
0.000111812500000	0	1
0.000115750000000	1	1
0.000118437500000	0	1
0.000118750000000	0	0
0.000124000000000	1	0
0.000127437500000	0	0
0.000134687500000	0	1
0.000136500000000	1	1
0.000138625000000	0	1
0.000142562500000	1	1
0.000144687500000	0	1
0.000148625000000	1	1
0.000150750000000	0	1
0.000154687500000	1	1
0.000156875000000	0	1
0.000160812500000	1	1
0.000162937500000	0	1
0.000166875000000	1	1
0.000169000000000	0	1
0.000171250000000	0	0
0.000172937500000	1	0
0.000175062500000	0	0
0.000179000000000	1	0
0.000181687500000	0	0
0.000187250000000	1	0
0.000190687500000	0	0
0.000197812500000	0	1
0.000199625000000	1	1
0.000201750000000	0	1
0.000205687500000	1	1
0.000207812500000	0	1
0.000211750000000	1	1
0.000213875000000	0	1
0.000217812500000	1	1
0.000220000000000	0	1
0.000223937500000	1	1
0.000226062500000	0	1
0.000230000000000	1	1
0.000232125000000	0	1
0.000234375000000	0	0
0.000236062500000	1	0
0.000238187500000	0	0
0.000242125000000	1	0
0.000244812500000	0	0
0.000250375000000	1	0
0.000253812500000	0	0
0.000260937500000	0	1
0.000262750000000	1	1
0.000264875000000	0	1
0.000268812500000	1	1
0.000270937500000	0	1
0.000274875000000	1	1
0.000277062500000	0	1
0.000281000000000	1	1
0.000283125000000	0	1
0.000287062500000	1	1
0.000289187500000	0	1
0.000293125000000	1	1
0.000295250000000	0	1
0.000297500000000	0	0
0.000299187500000	1	0
0.000301312500000	0	0
0.000305250000000	1	0
0.000307937500000	0	0
0.000313500000000	1	0
0.000316937500000	0	0
0.000325875000000	1	0
0.000328000000000	0	0
0.000330125000000	0	1
0.000331937500000	1	1
0.000334062500000	0	1
0.000338000000000	1	1
0.000340187500000	0	1
0.000342437500000	0	0
0.000344125000000	1	0
0.000346250000000	0	0
0.000350187500000	1	0
0.000352312500000	0	0
0.000354437500000	0	1
0.000356250000000	1	1
0.000358375000000	0	1
0.000362312500000	1	1
0.000364437500000	0	1
0.000366687500000	0	0
0.000368375000000	1	0
0.000371062500000	0	0
0.000376625000000	1	0
0.000380062500000	0	0
0.000384250000000	1	0
0.000386125000000	1	1
0.000388687500000	1	0
0.000391437500000	0	0
0.000395375000000	1	0
0.000397500000000	0	0
0.000401500000000	1	0
0.000403625000000	0	0
0.000407562500000	1	0
0.000409687500000	0	0
0.000411812500000	0	1
0.000413625000000	1	1
0.000415750000000	0	1
0.000418000000000	0	0
0.000419687500000	1	0
0.000421812500000	0	0
0.000425750000000	1	0
0.000427875000000	0	0
0.000431812500000	1	0
0.000433937500000	0	0
0.000436062500000	0	1
0.000437875000000	1	1
0.000440562500000	0	1
0.000440937500000	0	0
0.000446125000000	1	0
0.000449562500000	0	0
0.000453562500000	1	0
0.000455437500000	1	1
